"","x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","id"
"1",689.406,355.304,611.184,45.98,458.685,100.272,69,1,0,3,1,0,0,0,0,0,"54003"
"3",1449.913,293.145,625.257,29.61,382.361,-7.046,69,1,0,9,2,0,0,0,0,0,"54003"
"5",1729.908,200.651,628.605,42.64,446.748,10.125,109,1,0,17,3,0,0,0,0,0,"54003"
"6",1730.095,371.508,628.607,41.41,304.125,72.112,63,1,0,18,4,0,0,0,0,0,"54003"
"9",1830.608,482.153,629.785,94.049,1357.56,212.223,222,1,0,19,5,0,2,557.7,629.785,30.213683106894,"54003"
"11",2126.124,337.899,630.704,56.405,344.796,66.035,89,1,0,20,6,0,0,0,0,0,"54003"
"13",2307.528,215.944,630.139,11.399,304.683,2.544,36,1,0,22,7,0,0,0,0,0,"54003"
"15",2571.837,263.07,630.679,25.997,309.209,50.845,43,1,0,23,8,0,0,0,0,0,"54003"
"16",2585.067,149.49,630.734,104.82,650.022,-143.743,149,1,0,24,9,1,0,111.198,630.734,58.354685253742,"54003"
"19",2775.875,309.521,631.814,22.835,321.872,50.301,48,1,0,25,10,0,0,0,0,0,"54003"
"21",2813.596,288.191,632.095,27.116,243.593,38.818,47,1,0,26,11,0,0,0,0,0,"54003"
"23",3158.764,144.347,632.552,101.301,597.683,-116.197,144,1,0,27,12,1,0,112.664,632.552,108.710784616293,"54003"
"24",3162.576,458.437,632.53,93.633,3769.202,236.637,380,1,0,28,13,0,2,559.658,632.53,50.5665220242572,"54003"
"27",3647.338,289.2,632.034,32.29,457.506,61.9,65,1,0,33,14,0,0,0,0,0,"54003"
"30",4120.641,300.326,633.098,60.936,680.882,151.657,92,1,0,34,15,0,0,0,0,0,"54003"
"31",4430.691,548.958,631.776,101.635,4639.832,0.836,405,1,0,41,16,0,2,567.18,631.776,558.166839294955,"54003"
"4",1378.081,355.324,594.241,18.577,168.003,19.501,37,1,0,1,2,0,0,0,0,0,"54009"
"7",1852.616,452.596,599.535,118.865,495.042,110.39,151,1,0,8,4,0,0,0,0,0,"54009"
"91",2330.196,374.048,592.407,219.033,640.777,183.101,209,1,0,10,5,0,0,0,0,0,"54009"
"151",2760.82,436.242,580.756,145.977,958.051,244.187,211,1,0,11,7,0,2,519.247,580.756,1.29349220281057,"54009"
"211",3192.947,480.353,577.569,238.381,682.191,208.839,207,1,0,12,9,0,2,516.753,577.569,567.091207885661,"54009"
"241",3596.371,371.5,578.024,128.647,389.214,35.805,132,1,0,21,12,0,0,0,0,0,"54009"
"301",4439.833,335.238,577.733,23.459,236.186,41.285,42,1,0,31,15,0,0,0,0,0,"54009"
"14",1090.434,514.861,621.27,78.892,698.782,35.673,122,1,0,1,1,0,2,550.168,621.27,166.251739007089,"54012"
"34",1107.726,151.655,621.466,40.804,470.47,-1.722,84,1,0,2,2,1,0,101.346,621.466,9.65375081051002,"54012"
"51",1236.58,139.273,622.817,102.916,694.066,135.76,150,1,0,3,3,1,0,103.719,622.817,133.628835316262,"54012"
"12",1745.171,518.658,626.692,87.216,319.318,17.314,111,1,0,8,6,0,2,553.108,626.692,120.013407743368,"54012"
"131",1836.984,211.921,627.208,128.931,830.252,2.967,191,1,0,9,7,0,0,0,0,0,"54012"
"152",2072.139,347.721,627.789,121.218,604.141,-38.766,165,1,0,11,8,0,0,0,0,0,"54012"
"212",2327.902,408.307,628.042,141.392,755.312,68.852,225,1,0,14,10,0,0,0,0,0,"54012"
"22",2336.794,129.676,628.068,34.108,147.256,42.113,34,1,0,15,11,1,0,112.688,628.068,39.808844431104,"54012"
